keggid,name,formula,pubchemID,smile,fp,cid
cpd:C00199,D-Ribulose 5-phosphate,C5H11O8P,3499,C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110000000000000010010000000001000000111000000000010101001001000000000001010101110001011100000101000111101010000100,439184.0
cpd:C00204,2-Dehydro-3-deoxy-D-gluconate,C6H10O6,3504,C([C@@H]([C@@H](CO)O)O)C(=O)C(=O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000010000010110001001100000100000111101010000100,161227.0
cpd:C00345,6-Phospho-D-gluconate,C6H13O10P,3638,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110000000000000010010000000000000000111000000000010101001001000000000011010001110001001100000101000111101010000100,91493.0
cpd:C00257,D-Gluconic acid,C6H12O7,3556,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000010000000110000001100000100000111101010000100,10690.0
cpd:C00198,"D-Glucono-1,5-lactone",C6H10O6,3498,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001000000111000000100000000001000000000000010001000110000101100100100010111101010001110,7027.0
cpd:C00031,D-Glucose,C6H12O6,3333,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001000000111000000100000000001000000000000010001000110000101100100100010110101010001110,5793.0
cpd:C00258,D-Glycerate,C3H6O4,3557,C([C@H](C(=O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000110000000000000100001000000000000010000000110000001100000100000111101010000100,439194.0
cpd:C00673,2-Deoxy-D-ribose 5-phosphate,C5H11O7P,3942,C1[C@@H]([C@H](OC1O)COP(=O)(O)O)O,00000000000000000000000000000100000000000001000010000100010000000000010010000000000100000111000010000010101001001000000000011011111110000101100100101010110101010000110,439288.0
cpd:C00119,5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3,3419,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000000100000111000010000010001001001000000000011011001110001101100100101010110101010000110,7339.0
cpd:C00231,D-Xylulose 5-phosphate,C5H11O8P,3530,C([C@H]([C@@H](C(=O)CO)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110000000000000010010000000001000000111000000000010101001001000000000001010101110001011100000101000111101010000100,439190.0
cpd:C00279,D-Erythrose 4-phosphate,C4H9O7P,3574,C([C@H]([C@H](C=O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000010000000000000010010000000000000000110000000000010101001001000000000001010001110001001100000101000111101010000100,122357.0
cpd:C01236,"D-Glucono-1,5-lactone 6-phosphate",C6H11O9P,4457,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000000000000111000000100010001001001000000000011011001110001101100100101010111101010001110,439452.0
cpd:C06473,2-Keto-D-gluconic acid,C6H10O7,8705,C([C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000010000000110001001100000100000111101010000100,3035456.0
cpd:C01904,D-Arabitol,C5H12O5,5013,C([C@H](C([C@@H](CO)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000000000100110000011100000100000110101010000100,94154.0
cpd:C00310,D-Xylulose,C5H10O5,3604,C1[C@H]([C@@H](C(O1)(CO)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001100000111000010000000100001001000000000010001110110000111100100100010110101010000110,439204.0
cpd:C00502,D-Xylonate,C5H10O6,3785,C([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000010000000110000001100000100000111101010000100,6602431.0
cpd:C02266,D-Xylonolactone,C5H8O5,5327,C1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000000000000111000000100000100001000000000000010001000110000101100100100010111001010001110,439692.0
